L1,ID1,L2,ID2
fireCompany,7X20X41,municipalCourt,2X1
fireCompany,6X26X42,municipalCourt,2X1
fireCompany,3X10X43,municipalCourt,1X6
fireCompany,6X17X44,municipalCourt,2X2
fireCompany,7X13X45,municipalCourt,1X7
fireCompany,7X19X46,municipalCourt,2X2
fireCompany,6X3X47,municipalCourt,2X1
fireCompany,6X3X48,municipalCourt,2X1
fireCompany,6X17X49,municipalCourt,2X2
fireCompany,1X2X5,municipalCourt,1X1
fireCompany,7X20X50,municipalCourt,2X1
fireCompany,7X15X51,municipalCourt,2X1
fireCompany,7X27X52,municipalCourt,2X2
fireCompany,7X20X53,municipalCourt,2X1
fireCompany,6X3X54,municipalCourt,2X1
fireCompany,6X14X55,municipalCourt,2X2
fireCompany,7X18X56,municipalCourt,2X2
fireCompany,7X18X58,municipalCourt,2X1
fireCompany,7X18X58,municipalCourt,2X2
fireCompany,7X19X59,municipalCourt,2X2
fireCompany,1X4X6,municipalCourt,1X2
fireCompany,7X15X61,municipalCourt,2X1
fireCompany,3X8X7,municipalCourt,1X4
fireCompany,3X8X7,municipalCourt,1X9
fireCompany,8X23X76,municipalCourt,5X2
fireCompany,8X21X77,municipalCourt,5X2
fireCompany,8X21X78,municipalCourt,5X1
fireCompany,8X21X78,municipalCourt,5X2
fireCompany,8X22X79,municipalCourt,5X1
fireCompany,1X2X8,municipalCourt,1X1
fireCompany,1X2X8,municipalCourt,1X2
fireCompany,8X22X80,municipalCourt,5X1
fireCompany,8X21X81,municipalCourt,5X2
fireCompany,8X23X82,municipalCourt,5X2
fireCompany,8X22X83,municipalCourt,5X1
fireCompany,8X22X83,municipalCourt,5X2
fireCompany,8X23X84,municipalCourt,5X2
fireCompany,8X23X85,municipalCourt,5X1
fireCompany,8X23X85,municipalCourt,5X2
fireCompany,8X22X86,municipalCourt,5X1
fireCompany,8X23X87,municipalCourt,5X1
fireCompany,8X23X87,municipalCourt,5X2
fireCompany,1X6X9,municipalCourt,1X1
fireCompany,1X6X9,municipalCourt,1X2
fireCompany,11X48X1,municipalCourt,3X1
fireCompany,11X48X1,municipalCourt,3X6
fireCompany,1X2X18,municipalCourt,1X1
fireCompany,15X37X252,municipalCourt,3X7
fireCompany,13X50X270,municipalCourt,4X3
fireCompany,13X50X270,municipalCourt,4X4
fireCompany,14X46X288,municipalCourt,4X2
fireCompany,14X46X288,municipalCourt,4X3
fireCompany,6X14X41,municipalCourt,2X2
